               T                       Ex                     Ey                     Hx                     Hy                      Hz                      dEx/dt                      dEy/dt                      dHx/dt                      dHy/dt                      dHz/dt
     0.99999999392253D-08     0.14302304469478D-04     0.00000000000000D+00     0.00000000000000D+00     -.63580319830483D-03     0.71176281891503D-03     0.66694633595790D+01     0.00000000000000D+00     0.00000000000000D+00     -.40589125647391D+02     -.19565937497059D+00
     0.12589254083650D-07     0.14275192681026D-04     0.00000000000000D+00     0.00000000000000D+00     -.63570425030561D-03     0.71176304373120D-03     0.11330122916939D+02     0.00000000000000D+00     0.00000000000000D+00     -.36136087223112D+02     0.58413702910845D-02
     0.15848931056439D-07     0.14240978373191D-04     0.00000000000000D+00     0.00000000000000D+00     -.63559316995569D-03     0.71176279938445D-03     0.83857214501228D+01     0.00000000000000D+00     0.00000000000000D+00     -.32265102846099D+02     0.12153035234940D+00
     0.19952622665187D-07     0.14216179355422D-04     0.00000000000000D+00     0.00000000000000D+00     -.63546821776589D-03     0.71176223735753D-03     0.34913708842132D+01     0.00000000000000D+00     0.00000000000000D+00     -.28841120565558D+02     0.13834473230967D+00
     0.25118863433704D-07     0.14207591672822D-04     0.00000000000000D+00     0.00000000000000D+00     -.63532762354125D-03     0.71176160632698D-03     -.27774823590062D-01     0.00000000000000D+00     0.00000000000000D+00     -.25768836737106D+02     0.10333962952236D+00
     0.31622775509277D-07     0.14213246927465D-04     0.00000000000000D+00     0.00000000000000D+00     -.63516957929129D-03     0.71176108070954D-03     -.15645984703765D+01     0.00000000000000D+00     0.00000000000000D+00     -.22994031001967D+02     0.60726143701335D-01
     0.39810718277522D-07     0.14226165640076D-04     0.00000000000000D+00     0.00000000000000D+00     -.63499216647165D-03     0.71176073737515D-03     -.15725595316643D+01     0.00000000000000D+00     0.00000000000000D+00     -.20489907277769D+02     0.26303478690046D-01
     0.50118725170023D-07     0.14238521753841D-04     0.00000000000000D+00     0.00000000000000D+00     -.63479323961074D-03     0.71176058938765D-03     -.91787473488350D+00     0.00000000000000D+00     0.00000000000000D+00     -.18242797084848D+02     0.63268940592742D-02
     0.63095733082719D-07     0.14245207625182D-04     0.00000000000000D+00     0.00000000000000D+00     -.63457029640950D-03     0.71176052878056D-03     -.25672351129939D+00     0.00000000000000D+00     0.00000000000000D+00     -.16240232534626D+02     0.64298414225912D-02
     0.79432822985837D-07     0.14245423325209D-04     0.00000000000000D+00     0.00000000000000D+00     -.63432039044001D-03     0.71176031297316D-03     0.10554999081954D+00     0.00000000000000D+00     0.00000000000000D+00     -.14463598520061D+02     0.20217754193071D-01
     0.10000000116861D-06     0.14241478566384D-04     0.00000000000000D+00     0.00000000000000D+00     -.63404011927832D-03     0.71175974906108D-03     0.19966688170801D+00     0.00000000000000D+00     0.00000000000000D+00     -.12888421551246D+02     0.32116969947063D-01
     0.12589254083650D-06     0.14236370350302D-04     0.00000000000000D+00     0.00000000000000D+00     -.63372564578036D-03     0.71175884527636D-03     0.15501965447321D+00     0.00000000000000D+00     0.00000000000000D+00     -.11489505857988D+02     0.35601868965354D-01
     0.15848931411711D-06     0.14232381722793D-04     0.00000000000000D+00     0.00000000000000D+00     -.63337269243384D-03     0.71175767425555D-03     0.71104555744224D-01     0.00000000000000D+00     0.00000000000000D+00     -.10244507621320D+02     0.35939294236314D-01
     0.19952622665187D-06     0.14230806725416D-04     0.00000000000000D+00     0.00000000000000D+00     -.63297651041259D-03     0.71175620102528D-03     -.11074731121257D-02     0.00000000000000D+00     0.00000000000000D+00     -.91342435057426D+01     0.36488001292697D-01
